"File","Command","Description"
".\game-plugin\Features\AccuracyFeature.cs","acc","更改指定方的武器精准程度与后坐力"
".\game-plugin\Features\ArmorFeature.cs","armor","设置购买防弹衣后的耐久: /armor <t/ct/all/0> <Value>"
".\game-plugin\Features\OneHpFeature.cs","css_1hp","控制秽土转生与亡语效果"
".\game-plugin\Features\AccuracyFeature.cs","css_acc","更改指定方的武器精准程度与后坐力"
".\game-plugin\Features\AmmoFeature.cs","css_ammo","控制弹药与道具的消耗概率"
".\game-plugin\Features\ArmorFeature.cs","css_armor","设置购买防弹衣后的耐久: /armor <t/ct/all/0> <Value>"
".\game-plugin\Features\BladeAuraFeature.cs","css_aura","控制剑气效果"
".\game-plugin\Features\BleedFeature.cs","css_bleed","流血/回血设置: css_bleed <t/ct/all/0> <秒> <数值>，上下限由 /hpcap 控制"
".\game-plugin\Features\BombQuizFeature.cs","css_bq","黑客攻防设置"
".\game-plugin\Features\MoneyFeature.cs","css_cash","设置经济倍率: css_cash <t/ct/all/0> <倍数> [1/0回合奖励]"
".\game-plugin\Features\SimpleHpFeature.cs","css_crhp","查询本回合造成的伤害"
".\game-plugin\Features\DoubleJumpFeature.cs","css_dj","设置二段跳 [0关闭] 或 [t/ct/all] [跳跃次数] [向上推力]"
".\game-plugin\Features\DamageFeature.cs","css_dmg","伤害控制: css_dmg <t/ct/all/0> <倍率/-> <上限Cap> <时间窗口秒>"
".\game-plugin\Features\EcoGuessFeature.cs","css_eco","猜测敌方平均经济"
".\game-plugin\Features\EspFeature.cs","css_esp","控制 ESP 模块"
".\game-plugin\Features\FriendlyFireFeature.cs","css_ffire","设置友伤: css_ffire <t/ct/all/0> <倍率> <1/0是否允许击杀>"
".\game-plugin\Features\FireHealFeature.cs","css_fh","火疗/火焰伤害设置: css_fh <t/ct/all/0> <倍率>"
".\game-plugin\Features\FOVFeature.cs","css_fov","设置玩家FOV: css_fov <t/ct/all/0> <30-150>"
".\game-plugin\Features\SimpleHpFeature.cs","css_hp_set","设置HP模块: css_hp_set <t/ct/all/0> [1/0必须死亡]"
".\game-plugin\CaorenCupPlugin.cs","css_hpcap","设置模块血量全局上下限: /hpcap <min> <max>"
".\game-plugin\Features\IncDmgFeature.cs","css_incdmg","控制动态时间伤害"
".\game-plugin\Features\KbFeature.cs","css_kb","控制动能击退效果"
".\game-plugin\Features\KillHealFeature.cs","css_kh","击杀状态变更控制"
".\game-plugin\Features\LhImmFeature.cs","css_lhimm","名刀无敌: /lhimm <t/ct/all/0> <Time> <extraSpeed>"
".\game-plugin\Features\MagicFeature.cs","css_magic","控制魔法弹道吸附"
".\game-plugin\Features\PlaySoundFeature.cs","css_ps","全服播放指定音效"
".\game-plugin\Features\SmokeFeature.cs","css_smoke","设置烟雾弹: css_smoke <t/ct/all/0> <持续时间/-> <正回血负扣血>"
".\game-plugin\Features\SkillPointsFeature.cs","css_sp","技能点控制系统"
".\game-plugin\Features\TaggingControlFeature.cs","css_tag","受击速度控制"
".\game-plugin\Features\WeaponSpeedFeature.cs","css_wspd","武器速度控制: /wspd <t/ct/all/0> <switchSpeed> <fireSpeed>"
".\game-plugin\CaorenCupPlugin.cs","help_plu","查看插件列表"
".\game-plugin\CaorenCupPlugin.cs","helpall","查看所有指令入口"
".\game-plugin\CaorenCupPlugin.cs","hpcap","设置模块血量全局上下限: /hpcap <min> <max>"
".\game-plugin\CaorenCupPlugin.cs","info","查看模块玩法说明: /info <模块名>"
".\game-plugin\CaorenCupPlugin.cs","info_cast","向全服广播玩法说明: /info_cast <模块>"
".\game-plugin\Features\LhImmFeature.cs","lhimm","名刀无敌: /lhimm <t/ct/all/0> <Time> <extraSpeed>"
".\game-plugin\Features\OMAFeature.cs","oma","一人成军菜单"
".\game-plugin\Features\OMAFeature.cs","oma_mode","设置模式: /oma_mode <0/t/ct>"
".\game-plugin\Features\OMAFeature.cs","oma_solo","设置Solo属性: /oma_solo <hp/ap/speed/dmg> <val>"
".\game-plugin\Features\OMAFeature.cs","oma_swap","手动换边"
".\game-plugin\Features\OMAFeature.cs","oma_team","设置Team属性: /oma_team <hp/speed/ban_awp> <val>"
".\game-plugin\Features\OMAFeature.cs","oma_wh","透视设置: /oma_wh <0/1> [dur] [int]"
".\game-plugin\CaorenCupPlugin.cs","reset_plu","重置"
".\game-plugin\CaorenCupPlugin.cs","rules","显示当前服务器规则"
".\game-plugin\CaorenCupPlugin.cs","save_plu","保存"
".\game-plugin\CaorenCupPlugin.cs","status","查看功能状态"
".\game-plugin\Features\WeaponSpeedFeature.cs","wspd","武器速度控制: /wspd <t/ct/all/0> <switchSpeed> <fireSpeed>"
